unique_id,cntry,idno,dweight,pspwght,pweight,anweight,agea,gndr,eisced,eduyrs,hinctnta,domicil,brncntr,rlgdgr,uemp12m,health,sclmeet,vote,polintr,lrscale,trstprl,trstlgl,trstplt,trstprt,trstplc,trstep,stfdem,stfgov,ppltrst,pplfair,pplhlp,imbgeco,imueclt,imwbcnt,imdfetn,impcntr,gincdif,happy,stflife
PL_64009,PL,64009,1.076292,1.3800572,2.155714,2.9750087,55,2,7,16,10,3,1,8,6,3,3,1,1,10,2,5,5,1,8,1,8,2,5,6,7,5,1,4,4,3,5,8,9
PL_70802,PL,70802,1.0611498,0.84804296,2.155714,1.8281381,44,2,4,13,88,4,1,5,6,1,3,1,4,2,0,5,0,0,7,0,5,2,7,8,7,10,5,9,2,3,3,8,8
PL_69071,PL,69071,1.0433729,1.0164709,2.155714,2.1912208,48,1,7,17,77,4,1,8,6,1,3,1,3,2,1,1,1,2,1,8,2,2,8,3,5,9,8,8,2,2,1,9,8
PL_52281,PL,52281,1.076292,1.0183102,2.155714,2.1951857,20,1,3,12,6,3,1,7,6,2,6,1,2,5,2,4,2,5,7,4,6,5,3,5,4,1,1,5,2,2,4,8,7
PL_62721,PL,62721,0.9351353,0.7693969,2.155714,1.6585997,84,1,7,16,77,1,1,4,6,3,2,1,2,8,5,10,5,5,10,5,5,5,4,10,4,3,3,4,3,3,4,6,7
PL_98980,PL,98980,1.2949914,1.4795322,2.155714,3.1894486,67,1,5,14,7,3,1,9,6,2,4,1,2,10,5,88,5,5,10,5,9,10,5,5,5,1,4,7,3,4,1,10,10
PL_56125,PL,56125,0.8882322,0.6983565,2.155714,1.5054569,43,2,7,17,8,1,1,0,6,1,4,1,2,2,8,9,4,4,7,9,5,0,8,8,5,10,10,5,2,2,2,8,8
PL_92637,PL,92637,0.92318326,0.8601586,2.155714,1.854256,43,1,3,13,5,1,1,3,1,1,3,1,2,2,5,6,5,5,4,7,5,2,6,6,3,6,5,5,2,2,4,8,8
PL_60172,PL,60172,1.0583671,0.81125563,2.155714,1.7488352,42,2,7,17,10,4,1,9,2,2,2,1,2,8,1,1,2,3,2,4,8,9,7,7,5,9,8,9,1,1,1,9,8
PL_57671,PL,57671,1.0443135,1.1250601,2.155714,2.4253078,31,2,7,17,88,4,1,8,6,1,4,7,3,5,3,2,0,0,6,4,4,2,5,7,4,3,4,4,3,3,4,10,9
PL_56580,PL,56580,0.8844039,0.6074731,2.155714,1.3095382,36,1,3,12,3,3,1,2,6,2,5,1,4,5,3,5,3,3,5,4,8,7,6,5,7,7,5,5,3,4,2,9,8
PL_80311,PL,80311,0.9169603,0.72094345,2.155714,1.554148,47,2,7,17,10,1,1,7,6,2,6,1,1,4,4,5,0,0,2,5,5,6,2,7,5,4,5,5,2,3,3,10,10
PL_72855,PL,72855,1.0725025,0.9377352,2.155714,2.021489,45,2,2,11,77,4,1,5,1,1,4,2,4,88,1,0,0,0,3,0,88,88,3,6,5,88,88,88,3,3,2,8,7
PL_70798,PL,70798,1.0644792,0.9623322,2.155714,2.074513,77,2,4,12,2,4,1,9,6,3,4,1,3,9,2,2,0,1,7,0,10,9,1,5,8,9,8,5,3,3,3,10,8
PL_88117,PL,88117,0.89628506,1.4403689,2.155714,3.1050234,77,2,7,16,2,1,1,8,6,2,7,1,2,3,88,88,88,88,88,88,5,88,5,88,0,7,8,5,3,3,2,5,5
PL_74933,PL,74933,0.8816234,1.0454268,2.155714,2.2536414,32,1,4,13,7,3,1,3,6,2,3,1,2,3,3,5,3,3,5,5,5,4,4,6,5,8,7,6,2,2,4,6,3
PL_81724,PL,81724,0.8899304,1.2581394,2.155714,2.7121887,48,1,6,16,8,1,1,5,6,1,3,1,2,77,5,5,5,5,5,5,6,88,2,3,3,5,5,88,3,3,2,9,9
PL_59206,PL,59206,1.0813186,0.6038373,2.155714,1.3017006,50,2,2,12,4,4,1,5,1,2,2,2,4,88,2,3,0,0,4,4,4,2,3,3,1,8,6,5,3,2,2,6,6
PL_65931,PL,65931,1.0813186,0.87920225,2.155714,1.8953086,66,1,2,8,5,4,1,5,6,2,7,2,3,5,2,3,0,0,5,0,5,4,1,3,0,7,8,8,2,2,2,10,10
PL_61765,PL,61765,1.0531778,0.9612827,2.155714,2.0722506,64,1,2,8,1,4,1,9,1,3,3,1,4,10,8,2,0,0,7,2,2,4,9,2,4,7,3,8,4,1,1,10,4
PL_57879,PL,57879,0.9481512,1.3867344,2.155714,2.9894028,81,1,6,23,4,1,1,5,6,2,4,1,3,4,7,7,6,7,7,7,6,6,5,7,7,6,6,6,2,2,3,6,5
PL_57885,PL,57885,1.0550643,1.3229457,2.155714,2.8518927,19,1,2,8,77,3,1,0,2,2,5,2,3,5,3,2,3,2,6,2,5,88,7,7,6,9,7,5,3,3,3,7,4
PL_62067,PL,62067,0.9786862,1.0922792,2.155714,2.3546417,68,1,2,11,7,3,1,8,6,2,4,1,1,2,10,9,3,3,5,4,8,6,8,6,8,8,7,8,1,1,2,8,5
PL_80732,PL,80732,1.0531778,0.8025118,2.155714,1.729986,36,1,3,15,2,4,1,10,6,3,6,1,4,7,7,5,9,3,10,7,6,8,9,10,8,5,7,10,3,2,2,10,10
PL_79673,PL,79673,1.0611498,0.8601281,2.155714,1.8541902,22,2,4,13,6,3,1,7,6,1,6,1,4,8,1,2,2,3,3,4,3,6,7,8,2,7,6,7,2,1,5,5,7
PL_82285,PL,82285,1.0123581,0.9604267,2.155714,2.0704052,37,2,3,12,6,4,1,10,6,1,3,1,4,5,0,0,0,88,5,4,10,10,5,10,0,0,88,0,2,2,1,10,10
PL_70513,PL,70513,1.0193801,1.0521597,2.155714,2.2681553,32,1,7,18,77,3,1,4,6,2,2,1,1,6,6,5,5,5,6,7,8,8,5,5,5,8,8,10,2,2,4,9,8
PL_64924,PL,64924,0.9389031,1.1464018,2.155714,2.4713144,47,1,2,11,7,1,1,5,6,3,4,1,2,3,7,4,5,5,7,8,4,2,0,3,4,9,10,5,2,2,2,8,8
PL_51657,PL,51657,0.91409224,0.9709336,2.155714,2.0930552,37,2,7,23,10,1,1,5,6,2,7,1,4,5,4,7,4,4,7,3,7,5,8,8,6,5,7,6,2,2,4,9,9
PL_94064,PL,94064,0.91672194,0.71442205,2.155714,1.5400896,30,2,7,18,7,3,1,7,6,2,3,1,2,5,2,3,0,0,4,5,3,2,4,4,6,4,5,5,3,3,4,8,8
PL_77869,PL,77869,0.8919918,1.0522273,2.155714,2.268301,27,2,7,6,77,3,1,8,6,2,4,1,2,4,6,5,4,4,7,6,6,7,7,6,6,6,6,88,2,2,3,8,8
PL_55920,PL,55920,1.068033,1.0881201,2.155714,2.3456757,26,2,6,17,7,3,1,4,2,3,4,1,3,6,5,4,4,4,5,4,4,5,5,5,6,4,6,5,2,3,1,7,7
PL_57996,PL,57996,1.0813186,0.61244243,2.155714,1.3202507,34,2,7,18,77,3,1,5,6,2,4,1,3,5,5,5,5,5,6,5,6,5,3,6,4,6,6,5,2,2,7,5,5
PL_70336,PL,70336,0.89628506,1.0943651,2.155714,2.3591383,41,1,4,12,8,3,1,1,2,2,2,1,1,88,6,6,2,3,7,8,8,9,6,7,3,10,10,7,2,3,4,6,7
PL_75407,PL,75407,0.9351353,0.7693969,2.155714,1.6585997,56,1,3,19,88,1,1,5,6,2,3,1,2,5,1,1,0,0,2,0,5,5,8,5,1,0,0,5,2,2,1,10,5
PL_59074,PL,59074,0.92335176,0.8824438,2.155714,1.9022965,45,1,3,14,6,1,1,6,2,2,3,1,3,10,0,0,0,0,0,0,5,5,5,7,5,5,0,5,3,4,1,9,8
